 CONF#         G (xTB)          ΔG (xTB)          E (DFT)           ΔGsolv         GmRRHO           Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]           [Eh]             [Eh]           [Eh]            [Eh]           [kcal/mol]        % at 298.15 K     
CONF495       -64.670124          ---           -1981.450914       -0.017375        ---         -1981.468290          1.75                0.31         
CONF496       -64.670122          ---           -1981.450872       -0.017405        ---         -1981.468277          1.76                0.31         
CONF497       -64.670112          ---           -1981.453412       -0.015917        ---         -1981.469329          1.10                0.94         
CONF504       -64.670057          ---           -1981.453857       -0.013998        ---         -1981.467855          2.02                0.20         
CONF506       -64.670006          ---           -1981.448850       -0.015444        ---         -1981.464294          4.26                0.00         
CONF508       -64.669980          ---           -1981.449466       -0.014411        ---         -1981.463878          4.52                0.00         
CONF510       -64.669964          ---           -1981.449395       -0.020276        ---         -1981.469670          0.89                1.34         
CONF511       -64.669953          ---           -1981.449722       -0.019994        ---         -1981.469716          0.86                1.41         
CONF512       -64.669941          ---           -1981.452590       -0.015116        ---         -1981.467706          2.12                0.17         
CONF513       -64.669934          ---           -1981.452556       -0.013798        ---         -1981.466354          2.97                0.04         
CONF514       -64.669922          ---           -1981.452944       -0.013945        ---         -1981.466888          2.63                0.07         
CONF515       -64.669921          ---           -1981.450527       -0.017833        ---         -1981.468360          1.71                0.34         
CONF516       -64.669916          ---           -1981.451640       -0.018888        ---         -1981.470528          0.35                3.33         
CONF520       -64.669840          ---           -1981.449601       -0.012121        ---         -1981.461722          5.87                0.00         
CONF523       -64.669825          ---           -1981.451574       -0.018714        ---         -1981.470288          0.50                2.58         
CONF524       -64.669824          ---           -1981.451520       -0.018696        ---         -1981.470216          0.54                2.39         
CONF525       -64.669821          ---           -1981.449515       -0.020183        ---         -1981.469698          0.87                1.38         
CONF530       -64.669780          ---           -1981.448176       -0.016221        ---         -1981.464398          4.19                0.01         
CONF531       -64.669760          ---           -1981.455655       -0.013634        ---         -1981.469289          1.13                0.90         
CONF536       -64.669670          ---           -1981.455069       -0.012995        ---         -1981.468063          1.89                0.24         
CONF537       -64.669639          ---           -1981.448239       -0.016178        ---         -1981.464416          4.18                0.01         
CONF549       -64.669569          ---           -1981.455202       -0.012878        ---         -1981.468079          1.88                0.25         
CONF550       -64.669558          ---           -1981.455297       -0.012902        ---         -1981.468199          1.81                0.28         
