 CONF#          G (xTB)          ΔG (xTB)          E (DFT)           ΔGsolv         GmRRHO           Gtot             ΔGtot          Boltzmann weight   
                  [Eh]          [kcal/mol]           [Eh]             [Eh]           [Eh]            [Eh]           [kcal/mol]        % at 298.15 K     
CONF547        -65.026794          ---           -2932.462707       -0.010623        ---         -2932.473330          2.66                0.17         
CONF551        -65.026777          ---           -2932.457196       -0.012015        ---         -2932.469210          5.25                0.00         
CONF553        -65.026773          ---           -2932.461390       -0.009267        ---         -2932.470657          4.34                0.01         
CONF554        -65.026771          ---           -2932.459930       -0.007510        ---         -2932.467440          6.36                0.00         
CONF555        -65.026770          ---           -2932.459997       -0.007519        ---         -2932.467516          6.31                0.00         
CONF556        -65.026768          ---           -2932.461393       -0.009251        ---         -2932.470644          4.35                0.01         
CONF559        -65.026757          ---           -2932.460875       -0.009484        ---         -2932.470359          4.53                0.01         
CONF560        -65.026756          ---           -2932.458878       -0.011749        ---         -2932.470627          4.36                0.01         
CONF562        -65.026754          ---           -2932.457685       -0.011664        ---         -2932.469349          5.16                0.00         
CONF568        -65.026724          ---           -2932.456820       -0.008688        ---         -2932.465508          7.57                0.00         
CONF570        -65.026740          ---           -2932.457085       -0.008657        ---         -2932.465742          7.42                0.00         
CONF571        -65.026723          ---           -2932.462536       -0.008466        ---         -2932.471002          4.12                0.01         
CONF572        -65.026737          ---           -2932.459911       -0.009282        ---         -2932.469194          5.26                0.00         
CONF573        -65.026721          ---           -2932.462517       -0.008491        ---         -2932.471009          4.12                0.01         
CONF576        -65.026715          ---           -2932.459540       -0.011505        ---         -2932.471045          4.10                0.02         
CONF581        -65.026695          ---           -2932.457134       -0.009903        ---         -2932.467037          6.61                0.00         
CONF586        -65.026677          ---           -2932.459238       -0.010148        ---         -2932.469386          5.14                0.00         
CONF587        -65.026678          ---           -2932.459202       -0.010199        ---         -2932.469401          5.13                0.00         
CONF588        -65.026677          ---           -2932.459217       -0.010181        ---         -2932.469398          5.13                0.00         
CONF589        -65.026677          ---           -2932.459181       -0.010169        ---         -2932.469350          5.16                0.00         
CONF590        -65.026677          ---           -2932.459218       -0.010169        ---         -2932.469387          5.14                0.00         
CONF592        -65.026656          ---           -2932.460761       -0.008764        ---         -2932.469525          5.05                0.00         
CONF595        -65.026648          ---           -2932.467262       -0.007841        ---         -2932.475103          1.55                1.14         
CONF596        -65.026643          ---           -2932.467218       -0.007861        ---         -2932.475079          1.56                1.11         
CONF597        -65.026638          ---           -2932.462414       -0.008406        ---         -2932.470820          4.24                0.01         
CONF599        -65.026630          ---           -2932.462424       -0.008407        ---         -2932.470831          4.23                0.01         
CONF602        -65.026622          ---           -2932.460704       -0.008376        ---         -2932.469080          5.33                0.00         
CONF616        -65.026577          ---           -2932.457725       -0.008186        ---         -2932.465911          7.32                0.00         
CONF621        -65.026567          ---           -2932.466093       -0.009395        ---         -2932.475488          1.31                1.71         
CONF623        -65.026560          ---           -2932.464775       -0.007312        ---         -2932.472087          3.44                0.05         
CONF630        -65.026531          ---           -2932.461914       -0.010097        ---         -2932.472011          3.49                0.04         
CONF635        -65.026518          ---           -2932.461869       -0.010101        ---         -2932.471969          3.52                0.04         
CONF642        -65.026496          ---           -2932.463168       -0.008864        ---         -2932.472032          3.48                0.04         
CONF645        -65.026486          ---           -2932.463649       -0.010232        ---         -2932.473881          2.32                0.31         
CONF654        -65.026458          ---           -2932.458902       -0.009566        ---         -2932.468468          5.71                0.00         
CONF656        -65.026446          ---           -2932.463596       -0.008391        ---         -2932.471987          3.50                0.04         
CONF667        -65.026408          ---           -2932.460836       -0.011217        ---         -2932.472053          3.46                0.04         
CONF669        -65.026405          ---           -2932.462848       -0.008881        ---         -2932.471728          3.67                0.03         
CONF670        -65.026403          ---           -2932.460707       -0.009386        ---         -2932.470093          4.69                0.01         
CONF675        -65.026389          ---           -2932.462063       -0.009907        ---         -2932.471969          3.52                0.04         
CONF681        -65.026382          ---           -2932.465890       -0.007703        ---         -2932.473593          2.50                0.23         
CONF685        -65.026368          ---           -2932.462049       -0.009867        ---         -2932.471916          3.55                0.04         
CONF691        -65.026403          ---           -2932.460682       -0.009469        ---         -2932.470151          4.66                0.01         
CONF695        -65.026329          ---           -2932.456963       -0.008893        ---         -2932.465857          7.35                0.00         
CONF697        -65.026328          ---           -2932.461945       -0.007279        ---         -2932.469224          5.24                0.00         
CONF705        -65.026300          ---           -2932.457463       -0.008000        ---         -2932.465463          7.60                0.00         
CONF709        -65.026283          ---           -2932.460308       -0.007937        ---         -2932.468244          5.85                0.00         
CONF719        -65.026259          ---           -2932.463092       -0.009193        ---         -2932.472285          3.32                0.06         
CONF727        -65.026238          ---           -2932.463695       -0.006032        ---         -2932.469727          4.92                0.00         
CONF728        -65.026234          ---           -2932.463253       -0.006069        ---         -2932.469322          5.18                0.00         
CONF729        -65.026243          ---           -2932.461348       -0.007841        ---         -2932.469189          5.26                0.00         
CONF734        -65.026200          ---           -2932.458932       -0.008537        ---         -2932.467468          6.34                0.00         
CONF735        -65.026195          ---           -2932.458796       -0.008608        ---         -2932.467404          6.38                0.00         
CONF738        -65.026175          ---           -2932.460997       -0.008419        ---         -2932.469416          5.12                0.00         
CONF739        -65.026173          ---           -2932.460750       -0.010708        ---         -2932.471458          3.84                0.02         
CONF742        -65.026160          ---           -2932.461161       -0.011242        ---         -2932.472403          3.24                0.07         
CONF743        -65.026192          ---           -2932.461962       -0.008662        ---         -2932.470624          4.36                0.01         
CONF746        -65.026149          ---           -2932.458866       -0.007406        ---         -2932.466272          7.09                0.00         
CONF759        -65.026119          ---           -2932.462013       -0.011244        ---         -2932.473257          2.71                0.16         
CONF760        -65.026116          ---           -2932.465327       -0.005890        ---         -2932.471218          3.99                0.02         
CONF761        -65.026119          ---           -2932.461657       -0.008037        ---         -2932.469694          4.94                0.00         
CONF763        -65.026104          ---           -2932.464153       -0.006788        ---         -2932.470941          4.16                0.01         
CONF764        -65.026104          ---           -2932.460955       -0.009806        ---         -2932.470761          4.27                0.01         
CONF768        -65.026104          ---           -2932.464112       -0.006785        ---         -2932.470896          4.19                0.01         
CONF777        -65.026059          ---           -2932.464657       -0.008708        ---         -2932.473366          2.64                0.18         
CONF779        -65.026056          ---           -2932.463924       -0.008624        ---         -2932.472549          3.15                0.08         
CONF780        -65.026054          ---           -2932.461248       -0.006699        ---         -2932.467947          6.04                0.00         
CONF781        -65.026054          ---           -2932.461274       -0.006697        ---         -2932.467971          6.03                0.00         
CONF787        -65.026045          ---           -2932.462751       -0.009008        ---         -2932.471758          3.65                0.03         
CONF789        -65.026040          ---           -2932.463975       -0.007841        ---         -2932.471816          3.61                0.03         
CONF800        -65.026013          ---           -2932.463997       -0.008031        ---         -2932.472028          3.48                0.04         
CONF815        -65.025978          ---           -2932.466863       -0.009586        ---         -2932.476450          0.70                4.72         
CONF821        -65.025968          ---           -2932.458015       -0.007915        ---         -2932.465930          7.31                0.00         
CONF825        -65.025962          ---           -2932.461082       -0.008866        ---         -2932.469948          4.78                0.00         
CONF828        -65.025953          ---           -2932.459495       -0.007782        ---         -2932.467277          6.46                0.00         
CONF829        -65.025954          ---           -2932.460677       -0.011290        ---         -2932.471967          3.52                0.04         
CONF833        -65.025941          ---           -2932.464568       -0.007460        ---         -2932.472028          3.48                0.04         
CONF834        -65.025942          ---           -2932.466616       -0.010296        ---         -2932.476912          0.41                7.71         
CONF837        -65.025941          ---           -2932.463020       -0.007358        ---         -2932.470378          4.51                0.01         
CONF840        -65.025931          ---           -2932.464980       -0.007164        ---         -2932.472144          3.41                0.05         
CONF841        -65.025925          ---           -2932.464790       -0.007338        ---         -2932.472128          3.42                0.05         
CONF842        -65.025924          ---           -2932.464782       -0.007269        ---         -2932.472051          3.46                0.04         
